date,code,name,12m_low,12m_high,day_low,day_high,day_price,previous,change,changepct,volume,adjust,adjusted_price,pct_from_12m_low,pct_from_12m_high,daily_return,daily_volatility,ma_5,ma_10,next_day_price,next_day_return,target,Stock,Price,Timestamp
2013-01-02,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.1,16.2,16.1,16.1,,0.0,631600.0,,16.1,79.6875,-13.38028169014086,0.0,0.0999999999999978,16.1,16.1,16.15,0.0499999999999971,Hold,,,
2013-01-03,ABSA,Absa Bank Kenya Plc,9.1,14.2,16.75,17.5,16.95,16.6,0.35,2.11%,1134800.0,,16.95,86.26373626373626,-19.366197183098592,0.3499999999999978,0.75,16.46,16.375,17.0,0.0500000000000007,Hold,,,
2013-01-07,ABSA,Absa Bank Kenya Plc,8.96,14.2,15.65,16.0,15.7,15.7,,0.0,939600.0,,15.7,75.22321428571426,-10.563380281690142,0.0,0.3499999999999996,15.64,16.095000000000002,15.7,0.0,Hold,,,
2013-01-08,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.75,17.55,17.45,17.35,0.1,0.58%,5064300.0,,17.45,93.88888888888889,-22.88732394366197,0.0999999999999978,1.8000000000000007,17.500000000000004,17.560000000000002,17.4,-0.0500000000000007,Hold,,,
2013-01-11,ABSA,Absa Bank Kenya Plc,9.0,14.2,18.65,18.75,18.65,18.65,,0.0,2109600.0,,18.65,107.2222222222222,-31.33802816901408,0.0,0.1000000000000014,18.65,18.565,18.65,0.0,Hold,,,
2013-02-01,ABSA,Absa Bank Kenya Plc,9.3,14.2,15.65,16.0,15.7,15.75,-0.05,0.32%,78200.0,,15.7,68.81720430107525,-10.563380281690142,-0.0500000000000007,0.3499999999999996,,,15.8,0.1000000000000014,Buy,,,
2013-02-04,ABSA,Absa Bank Kenya Plc,9.1,14.2,17.25,18.5,18.0,17.0,1.0,5.88%,1261700.0,,18.0,97.8021978021978,-26.7605633802817,1.0,1.25,17.04,16.795,17.7,-0.3000000000000007,Sell,,,
2013-02-05,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.55,17.9,17.65,17.7,-0.05,0.28%,437600.0,,17.65,96.11111111111109,-24.29577464788732,-0.0500000000000007,0.3499999999999978,17.52,17.455000000000002,17.65,0.0,Hold,,,
2013-02-07,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.7,15.8,15.7,15.7,,0.0,1446800.0,,15.7,74.44444444444443,-10.563380281690142,0.0,0.1000000000000014,15.62,16.015,15.8,0.1000000000000014,Buy,,,
2013-02-08,ABSA,Absa Bank Kenya Plc,9.0,14.2,16.6,17.55,17.4,17.45,-0.05,0.29%,1297800.0,,17.4,93.33333333333331,-22.53521126760563,-0.0500000000000007,0.9499999999999992,17.46,17.544999999999998,17.45,0.0500000000000007,Hold,,,
2013-02-09,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.1,17.3,17.1,17.05,0.05,0.29%,586900.0,,17.1,90.84821428571428,-20.422535211267625,0.0500000000000007,0.1999999999999993,17.28,17.380000000000003,17.05,-0.0500000000000007,Hold,,,
2013-02-10,ABSA,Absa Bank Kenya Plc,9.3,14.2,17.1,17.2,17.15,17.05,0.1,0.59%,389800.0,,17.15,84.4086021505376,-20.77464788732394,0.0999999999999978,0.0999999999999978,17.07,17.055,17.25,0.1000000000000014,Buy,,,
2013-02-12,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.5,17.8,17.6,17.5,0.1,0.57%,237500.0,,17.6,95.55555555555556,-23.943661971831,0.1000000000000014,0.3000000000000007,17.96,18.235,17.55,-0.0500000000000007,Hold,,,
2013-03-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.7,16.0,15.8,15.7,0.1,0.64%,97900.0,,15.8,75.55555555555557,-11.267605633802829,0.1000000000000014,0.3000000000000007,,,15.75,-0.0500000000000007,Hold,,,
2013-03-04,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,18.25,17.7,18.0,-0.3,1.67%,407500.0,,17.7,96.66666666666666,-24.647887323943664,-0.3000000000000007,1.25,17.25,16.93,17.05,-0.6499999999999986,Sell,,,
2013-03-05,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.6,17.75,17.65,17.65,,0.0,443000.0,,17.65,96.11111111111109,-24.29577464788732,0.0,0.1499999999999985,17.580000000000002,17.475,17.65,0.0,Hold,,,
2013-03-06,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.7,18.2,17.85,17.95,-0.1,0.56%,319600.0,,17.85,99.21875,-25.70422535211269,-0.0999999999999978,0.5,18.31,18.13,18.0,0.1499999999999985,Buy,,,
2013-03-07,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.7,16.3,15.8,15.7,0.1,0.64%,658000.0,,15.8,75.55555555555557,-11.267605633802829,0.1000000000000014,0.6000000000000014,15.71,15.920000000000002,16.0,0.1999999999999993,Buy,,,
2013-03-09,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,17.1,17.05,17.1,-0.05,0.29%,353900.0,,17.05,89.44444444444444,-20.07042253521128,-0.0500000000000007,0.1000000000000014,17.19,17.33,17.05,0.0,Hold,,,
2013-03-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.15,17.5,17.25,17.15,0.1,0.58%,772900.0,,17.25,92.5223214285714,-21.478873239436624,0.1000000000000014,0.3500000000000014,17.110000000000003,17.075,17.3,0.0500000000000007,Hold,,,
2013-03-12,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.55,17.6,17.55,17.6,-0.05,0.28%,1215200.0,,17.55,95.8705357142857,-23.59154929577466,-0.0500000000000007,0.0500000000000007,17.770000000000003,18.14,17.55,0.0,Hold,,,
2013-04-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.7,16.0,15.75,15.8,-0.05,0.32%,391900.0,,15.75,75.0,-10.915492957746483,-0.0500000000000007,0.3000000000000007,,,15.7,-0.0500000000000007,Hold,,,
2013-04-02,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.1,16.25,16.15,16.1,0.05,0.31%,392700.0,,16.15,80.24553571428568,-13.73239436619718,0.0499999999999971,0.1499999999999985,16.110000000000003,16.105,16.15,0.0,Hold,,,
2013-04-04,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,17.55,17.05,17.7,-0.65,3.67%,909200.0,,17.05,89.44444444444444,-20.07042253521128,-0.6499999999999986,0.5500000000000007,17.33,16.98,17.25,0.1999999999999993,Buy,,,
2013-04-06,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.9,18.5,18.0,17.85,0.15,0.84%,1421300.0,,18.0,100.0,-26.7605633802817,0.1499999999999985,0.6000000000000014,18.21,18.16,17.95,-0.0500000000000007,Hold,,,
2013-04-07,ABSA,Absa Bank Kenya Plc,8.96,14.2,15.9,16.3,16.0,15.8,0.2,1.27%,2822600.0,,16.0,78.57142857142856,-12.676056338028175,0.1999999999999993,0.4000000000000003,15.78,15.85,16.05,0.0500000000000007,Hold,,,
2013-04-09,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,17.45,17.05,17.05,,0.0,171200.0,,17.05,89.44444444444444,-20.07042253521128,0.0,0.4499999999999993,17.11,17.29,17.25,0.1999999999999993,Buy,,,
2013-04-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.25,17.5,17.3,17.25,0.05,0.29%,349800.0,,17.3,93.08035714285712,-21.830985915492967,0.0500000000000007,0.25,17.16,17.095,17.35,0.0500000000000007,Hold,,,
2013-04-11,ABSA,Absa Bank Kenya Plc,9.0,14.2,18.45,18.75,18.65,18.65,,0.0,385900.0,,18.65,107.2222222222222,-31.33802816901408,0.0,0.3000000000000007,18.68,18.59,18.6,-0.0499999999999971,Hold,,,
2013-04-12,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.5,17.7,17.55,17.55,,0.0,544600.0,,17.55,95.0,-23.59154929577466,0.0,0.1999999999999993,17.59,18.045,17.75,0.1999999999999993,Buy,,,
2013-05-02,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.15,16.25,16.15,16.15,,0.0,280800.0,,16.15,80.24553571428568,-13.73239436619718,0.0,0.1000000000000014,16.12,16.110000000000003,16.2,0.0500000000000007,Hold,,,
2013-05-03,ABSA,Absa Bank Kenya Plc,9.0,14.2,16.9,17.5,17.0,16.95,0.05,0.29%,1720100.0,,17.0,88.88888888888889,-19.71830985915493,0.0500000000000007,0.6000000000000014,16.62,16.44,16.95,-0.0500000000000007,Hold,,,
2013-05-04,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.05,17.5,17.25,17.05,0.2,1.17%,490900.0,,17.25,91.66666666666666,-21.478873239436624,0.1999999999999993,0.4499999999999993,17.4,17.04,17.1,-0.1499999999999985,Sell,,,
2013-05-06,ABSA,Absa Bank Kenya Plc,9.1,14.2,17.9,18.0,17.95,18.0,-0.05,0.28%,203400.0,,17.95,97.25274725274726,-26.40845070422536,-0.0500000000000007,0.1000000000000014,18.06,18.185,17.95,0.0,Hold,,,
2013-05-07,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.0,16.45,16.05,16.0,0.05,0.31%,652800.0,,16.05,79.12946428571428,-13.028169014084517,0.0500000000000007,0.4499999999999993,15.85,15.804999999999998,16.55,0.5,Buy,,,
2013-05-08,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.05,17.55,17.45,17.4,0.05,0.29%,1116800.0,,17.45,94.75446428571426,-22.88732394366197,0.0500000000000007,0.5,17.44,17.535,17.3,-0.1499999999999985,Sell,,,
2013-05-09,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.1,17.45,17.25,17.05,0.2,1.17%,700400.0,,17.25,91.66666666666666,-21.478873239436624,0.1999999999999993,0.3499999999999978,17.1,17.265,17.25,0.0,Hold,,,
2013-05-11,ABSA,Absa Bank Kenya Plc,9.3,14.2,18.45,18.75,18.6,18.65,-0.05,0.27%,241800.0,,18.6,100.0,-30.98591549295776,-0.0499999999999971,0.3000000000000007,18.65,18.605,18.5,-0.1000000000000014,Sell,,,
2013-05-12,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.55,18.0,17.75,17.55,0.2,1.14%,784800.0,,17.75,98.10267857142854,-25.000000000000007,0.1999999999999993,0.4499999999999993,17.59,17.964999999999996,17.6,-0.1499999999999985,Sell,,,
2013-06-02,ABSA,Absa Bank Kenya Plc,9.3,14.2,16.15,16.25,16.2,16.15,0.05,0.31%,1211900.0,,16.2,74.19354838709675,-14.084507042253522,0.0500000000000007,0.1000000000000014,16.14,16.119999999999997,16.35,0.1500000000000021,Buy,,,
2013-06-03,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.8,17.5,16.95,17.0,-0.05,0.29%,1600500.0,,16.95,89.17410714285711,-19.366197183098592,-0.0500000000000007,0.6999999999999993,16.76,16.5,17.1,0.1500000000000021,Buy,,,
2013-06-05,ABSA,Absa Bank Kenya Plc,9.1,14.2,17.6,17.75,17.65,17.65,,0.0,212500.0,,17.65,93.95604395604394,-24.29577464788732,0.0,0.1499999999999985,17.619999999999997,17.5,17.6,-0.0499999999999971,Hold,,,
2013-06-06,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.9,18.0,17.95,17.95,,0.0,863900.0,,17.95,100.3348214285714,-26.40845070422536,0.0,0.1000000000000014,17.94,18.19,17.85,-0.0999999999999978,Sell,,,
2013-06-08,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.15,17.5,17.3,17.45,-0.15,0.86%,1958500.0,,17.3,93.08035714285712,-21.830985915492967,-0.1499999999999985,0.3500000000000014,17.39,17.5,17.2,-0.1000000000000014,Sell,,,
2013-06-09,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.1,17.35,17.25,17.25,,0.0,4105500.0,,17.25,92.5223214285714,-21.478873239436624,0.0,0.25,17.14,17.245,17.15,-0.1000000000000014,Sell,,,
2013-06-11,ABSA,Absa Bank Kenya Plc,9.3,14.2,18.5,18.75,18.5,18.6,-0.1,0.54%,1172200.0,,18.5,98.92473118279568,-30.281690140845075,-0.1000000000000014,0.25,18.610000000000003,18.605,18.55,0.0500000000000007,Hold,,,
2013-06-12,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.5,17.9,17.6,17.75,-0.15,0.85%,311200.0,,17.6,96.42857142857144,-23.943661971831,-0.1499999999999985,0.3999999999999986,17.610000000000003,17.875,17.7,0.0999999999999978,Buy,,,
2013-07-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.7,15.95,15.7,15.75,-0.05,0.32%,246400.0,,15.7,74.44444444444443,-10.563380281690142,-0.0500000000000007,0.25,,,15.7,0.0,Hold,,,
2013-07-02,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.2,16.65,16.35,16.2,0.15,0.93%,2128600.0,,16.35,82.47767857142857,-15.140845070422552,0.1500000000000021,0.4499999999999993,16.189999999999998,16.145,16.45,0.0999999999999978,Buy,,,
2013-07-03,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,17.2,17.1,16.95,0.15,0.88%,220100.0,,17.1,90.00000000000001,-20.422535211267625,0.1500000000000021,0.1999999999999993,16.919999999999998,16.580000000000002,17.35,0.25,Buy,,,
2013-07-05,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.6,17.75,17.6,17.65,-0.05,0.28%,362000.0,,17.6,95.55555555555556,-23.943661971831,-0.0499999999999971,0.1499999999999985,17.65,17.520000000000003,17.65,0.0499999999999971,Hold,,,
2013-07-06,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.8,18.0,17.85,17.95,-0.1,0.56%,118000.0,,17.85,98.33333333333336,-25.70422535211269,-0.0999999999999978,0.1999999999999993,17.919999999999998,18.155,17.5,-0.3500000000000014,Sell,,,
2013-07-08,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.05,17.3,17.2,17.3,-0.1,0.58%,1916200.0,,17.2,91.9642857142857,-21.126760563380284,-0.1000000000000014,0.25,17.36,17.455000000000002,17.2,0.0,Hold,,,
2013-07-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.3,17.45,17.35,17.3,0.05,0.29%,198900.0,,17.35,93.63839285714285,-22.18309859154931,0.0500000000000007,0.1499999999999985,17.22,17.130000000000003,17.65,0.2999999999999971,Buy,,,
2013-07-11,ABSA,Absa Bank Kenya Plc,8.96,14.2,18.5,18.65,18.55,18.5,0.05,0.27%,337300.0,,18.55,107.03124999999996,-30.63380281690142,0.0500000000000007,0.1499999999999985,18.59,18.61,18.6,0.0500000000000007,Hold,,,
2013-08-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.5,15.85,15.7,15.7,,0.0,200200.0,,15.7,74.44444444444443,-10.563380281690142,0.0,0.3499999999999996,15.73,,15.6,-0.0999999999999996,Sell,,,
2013-08-02,ABSA,Absa Bank Kenya Plc,9.0,14.2,16.3,16.7,16.45,16.35,0.1,0.61%,1295500.0,,16.45,82.77777777777777,-15.845070422535212,0.0999999999999978,0.3999999999999986,16.259999999999998,16.18,16.5,0.0500000000000007,Hold,,,
2013-08-03,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.25,17.5,17.35,17.1,0.25,1.46%,688200.0,,17.35,92.7777777777778,-22.18309859154931,0.25,0.25,17.07,16.69,17.2,-0.1500000000000021,Sell,,,
2013-08-04,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.05,17.5,17.1,17.25,-0.15,0.87%,234900.0,,17.1,90.00000000000001,-20.422535211267625,-0.1499999999999985,0.4499999999999993,17.419999999999998,17.09,17.3,0.1999999999999993,Buy,,,
2013-08-05,ABSA,Absa Bank Kenya Plc,9.1,14.2,17.65,17.75,17.65,17.6,0.05,0.28%,487300.0,,17.65,93.95604395604394,-24.29577464788732,0.0499999999999971,0.1000000000000014,17.639999999999997,17.55,17.7,0.0500000000000007,Hold,,,
2013-08-07,ABSA,Absa Bank Kenya Plc,9.0,14.2,16.1,17.0,16.55,16.05,0.5,3.12%,46300.0,,16.55,83.8888888888889,-16.5492957746479,0.5,0.8999999999999986,16.02,15.830000000000002,16.85,0.3000000000000007,Buy,,,
2013-08-08,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.1,17.3,17.2,17.2,,0.0,695400.0,,17.2,91.9642857142857,-21.126760563380284,0.0,0.1999999999999993,17.31,17.405,17.35,0.1500000000000021,Buy,,,
2013-08-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.35,18.0,17.65,17.35,0.3,1.73%,196800.0,,17.65,96.98660714285712,-24.29577464788732,0.2999999999999971,0.6499999999999986,17.34,17.19,18.0,0.3500000000000014,Buy,,,
2013-08-11,ABSA,Absa Bank Kenya Plc,9.1,14.2,18.55,18.7,18.6,18.55,0.05,0.27%,1848900.0,,18.6,104.39560439560442,-30.98591549295776,0.0500000000000007,0.1499999999999985,18.58,18.615,18.5,-0.1000000000000014,Sell,,,
2013-09-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.3,15.9,15.6,15.7,-0.1,0.64%,151200.0,,15.6,73.33333333333333,-9.859154929577468,-0.0999999999999996,0.5999999999999996,15.71,,15.45,-0.1500000000000003,Sell,,,
2013-09-05,ABSA,Absa Bank Kenya Plc,9.3,14.2,17.65,17.8,17.7,17.65,0.05,0.28%,894800.0,,17.7,90.32258064516128,-24.647887323943664,0.0500000000000007,0.1500000000000021,17.65,17.585,17.5,-0.1999999999999993,Sell,,,
2013-09-07,ABSA,Absa Bank Kenya Plc,9.0,14.2,16.3,17.0,16.85,16.55,0.3,1.81%,530100.0,,16.85,87.22222222222223,-18.661971830985934,0.3000000000000007,0.6999999999999993,16.25,15.935,17.0,0.1499999999999985,Buy,,,
2013-09-09,ABSA,Absa Bank Kenya Plc,9.1,14.2,17.0,17.3,17.15,17.25,-0.1,0.58%,512300.0,,17.15,88.46153846153845,-20.77464788732394,-0.1000000000000014,0.3000000000000007,17.15,17.215,16.75,-0.3999999999999986,Sell,,,
2013-09-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.8,18.15,18.0,17.65,0.35,1.98%,977100.0,,18.0,100.89285714285712,-26.7605633802817,0.3500000000000014,0.3499999999999978,17.509999999999998,17.29,18.1,0.1000000000000014,Buy,,,
2013-09-12,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.65,17.9,17.7,17.6,0.1,0.57%,144600.0,,17.7,96.66666666666666,-24.647887323943664,0.0999999999999978,0.25,17.630000000000003,17.794999999999998,17.7,0.0,Hold,,,
2013-10-01,ABSA,Absa Bank Kenya Plc,9.0,14.2,15.3,15.7,15.45,15.6,-0.15,0.96%,172300.0,,15.45,71.66666666666666,-8.802816901408452,-0.1500000000000003,0.3999999999999986,15.64,,15.4,-0.0499999999999989,Hold,,,
2013-10-04,ABSA,Absa Bank Kenya Plc,9.3,14.2,17.2,17.5,17.3,17.1,0.2,1.17%,438000.0,,17.3,86.02150537634408,-21.830985915492967,0.1999999999999993,0.3000000000000007,17.28,17.160000000000004,17.4,0.0999999999999978,Buy,,,
2013-10-05,ABSA,Absa Bank Kenya Plc,8.96,14.2,17.4,17.75,17.5,17.7,-0.2,1.13%,293300.0,,17.5,95.31249999999996,-23.239436619718315,-0.1999999999999993,0.3500000000000014,17.619999999999997,17.6,17.55,0.0500000000000007,Hold,,,
2013-10-06,ABSA,Absa Bank Kenya Plc,9.0,14.2,17.0,17.95,17.5,17.85,-0.35,1.96%,104200.0,,17.5,94.44444444444444,-23.239436619718315,-0.3500000000000014,0.9499999999999992,17.85,18.08,17.15,-0.3500000000000014,Sell,,,
2013-10-07,ABSA,Absa Bank Kenya Plc,9.3,14.2,16.8,17.9,17.0,16.85,0.15,0.89%,1791200.0,,17.0,82.79569892473117,-19.71830985915493,0.1499999999999985,1.099999999999998,16.490000000000002,16.1,17.45,0.4499999999999993,Buy,,,
2013-10-09,ABSA,Absa Bank Kenya Plc,8.96,14.2,16.05,17.25,16.75,17.15,-0.4,2.33%,112800.0,,16.75,86.94196428571426,-17.957746478873247,-0.3999999999999986,1.1999999999999993,17.09,17.14,17.0,0.25,Buy,,,
2013-10-10,ABSA,Absa Bank Kenya Plc,8.96,14.2,18.05,18.2,18.1,18.0,0.1,0.56%,500100.0,,18.1,102.00892857142856,-27.464788732394386,0.1000000000000014,0.1499999999999985,17.68,17.395,18.15,0.0499999999999971,Hold,,,
