DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-18,EGAD,Eaagads Ltd,8.2,14,25,25,25,22.75,2.25,9.89%,"10,500",-
02-Jan-18,KUKZ,Kakuzi Plc,300,423.5,329,329,329,329,-,-,-,-
02-Jan-18,KAPC,Kapchorua Tea Kenya Plc,59,95,67.5,70,67.5,65.5,2,3.05%,"1,000",-
02-Jan-18,LIMT,Limuru Tea Plc,385,475,500,500,500,500,-,-,-,-
02-Jan-18,SASN,Sasini Plc,14.8,19.6,27,27.5,27,29.5,-2.5,8.47%,300,-
02-Jan-18,WTK,Williamson Tea Kenya Plc,92,165,158,158,158,159,-1,0.63%,100,-
02-Jan-18,CGEN,Car and General (K) Ltd,20,26,21,21,21,21,-,-,-,-
02-Jan-18,ABSA,ABSA Bank Kenya Plc,9.1,14.2,9.55,9.9,9.6,9.6,-,-,"255,900",-
02-Jan-18,COOP,Co-operative Bank of Kenya Ltd,10.5,17,15.9,16.1,15.95,15.95,-,-,"69,700",-
02-Jan-18,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,192,192,192,192,-,-,"1,000",-
02-Jan-18,EQTY,Equity Group Holdings Plc,30.5,55.5,39.5,40.25,39.75,39.75,-,-,"1,033,300",-
02-Jan-18,HFCK,HF Group Ltd,3.49,7.9,9.6,10.9,10.35,10.4,-0.05,0.48%,"12,400",9.41
02-Jan-18,IMH,I & M Holdings Plc,43.1,59,120,120,120,127,-7,5.51%,300,60
02-Jan-18,KCB,KCB Group Plc,33.75,55.5,42.5,43.5,42.75,42.75,-,-,"170,900",-
02-Jan-18,NBK,National Bank of Kenya Ltd,3.4,4.33,9.35,9.95,9.7,9.35,0.35,3.74%,"1,600",-
02-Jan-18,NCBA,NCBA Group Plc,24.9,40,34,34,34,33.95,0.05,0.15%,"194,100",30.91
02-Jan-18,SBIC,Stanbic Holdings Plc,76.5,118.5,80,80,80,81,-1,1.23%,"1,000",-
02-Jan-18,SCBK,Standard Chartered Bank Kenya Ltd,161,220,210,210,210,208,2,0.96%,"2,200",-
02-Jan-18,DCON,Deacons (East Africa) Plc,0.45,0.45,3.5,3.5,3.5,3.5,-,-,"1,900",-
02-Jan-18,EVRD,Eveready East Africa Ltd,0.75,1.28,2.4,2.4,2.4,2.4,-,-,"46,600",-
02-Jan-18,XPRS,Express Kenya Plc,4.15,7.34,3.75,3.75,3.75,3.75,-,-,-,-
02-Jan-18,KQ,Kenya Airways Plc,0.8,5.5,16.6,17.7,17,17.15,-0.15,0.87%,"19,400",-
02-Jan-18,LKL,Longhorn Publishers Plc,4.26,8.6,5.2,5.7,5.4,5.35,0.05,0.93%,"57,500",-
02-Jan-18,NBV,Nairobi Business Ventures Ltd,0.49,0.99,3.1,3.4,3.2,3.35,-0.15,4.48%,"6,200",-
02-Jan-18,NMG,Nation Media Group Plc,13,49,115,117,115,116,-1,0.86%,"1,900",-
02-Jan-18,SMER,Sameer Africa Plc,1.91,4.69,2.75,2.9,2.75,2.8,-0.05,1.79%,"3,500",-
02-Jan-18,SGL,Standard Group Plc,18,31,37,37,37,37,-,-,-,-
02-Jan-18,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,32.5,32.5,32.5,32.5,-,-,100,-
02-Jan-18,UCHM,Uchumi Supermarket Plc,0.23,0.46,4.25,4.8,4.6,4.6,-,-,"48,600",-
02-Jan-18,SCAN,WPP ScanGroup Plc,10.75,25,19,19,19,19,-,-,-,-
02-Jan-18,ARM,ARM Cement Plc,5.55,5.55,12.75,13.95,13.45,13,0.45,3.46%,"33,100",-
02-Jan-18,BAMB,Bamburi Cement Ltd,26,120,180,180,180,180,-,-,-,-
02-Jan-18,CRWN,Crown Paints Kenya Plc,45,85,80,80,80,80,-,-,-,-
02-Jan-18,CABL,East African Cables Ltd,1.44,3.98,5.7,5.75,5.7,5.45,0.25,4.59%,"18,800",-
02-Jan-18,PORT,East African Portland Cement Ltd,12.6,18.5,27,27,27,27,-,-,-,-
02-Jan-18,KENO,KenolKobil Ltd,12.8,23,14.2,14.95,14.25,14,0.25,1.79%,"20,600",-
02-Jan-18,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8.55,8.65,8.6,8.55,0.05,0.58%,"105,900",-
02-Jan-18,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
02-Jan-18,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
02-Jan-18,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,9,9.15,9.05,9.1,-0.05,0.55%,"226,700",-
02-Jan-18,TOTL,Total Kenya Ltd,22,30,23.5,24,23.75,23.5,0.25,1.06%,"3,800",-
02-Jan-18,UMME,Umeme Ltd,5.68,8.6,13.4,13.7,13.55,13.4,0.15,1.12%,"10,100",-
02-Jan-18,BRIT,Britam Holdings Plc,5.7,10.65,13.05,13.75,13.5,13.35,0.15,1.12%,"43,500",-
02-Jan-18,CIC,CIC Insurance Group Ltd,2,3.65,5.6,5.75,5.65,5.6,0.05,0.89%,"95,700",-
02-Jan-18,JUB,Jubilee Holdings Ltd,225,380.5,495,500,497,499,-2,0.40%,200,-
02-Jan-18,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,18.65,19.5,18.95,18.1,0.85,4.70%,"11,300",4.74
02-Jan-18,LBTY,Liberty Kenya Holdings Ltd,6.8,11,12.2,12.2,12.2,12.2,-,-,-,-
