Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
3-Jan-23,EGAD,Eaagads Ltd,10.35,14.5,10.5,10.5,10.5,10.5,-,-,"1,900.00",-
3-Jan-23,KUKZ,Kakuzi Plc,342,440,385,385,385,385,-,-,-,-
3-Jan-23,KAPC,Kapchorua Tea Kenya Plc,207,280,115.75,115.75,115.75,113.25,2.5,2.21%,100,-
3-Jan-23,LIMT,Limuru Tea Plc,365,380,420,420,420,420,-,-,-,-
3-Jan-23,SASN,Sasini Plc,15.1,22,22,22.5,22.45,22.45,-,-,"6,900.00",-
3-Jan-23,WTK,Williamson Tea Kenya Plc,193.5,290,160,160,160,160,-,-,-,-
3-Jan-23,CGEN,Car and General (K) Ltd,17.95,31.8,49,49,49,47.45,1.55,3.27%,100,-
3-Jan-23,ABSA,ABSA Bank Kenya Plc,10.55,16.7,12.1,12.45,12.2,12.3,-0.1,-0.81%,"134,300.00",-
3-Jan-23,BKG,BK Group Plc,30,37,30,30.05,30,31.5,-1.5,-4.76%,"74,300.00",-
3-Jan-23,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,12,12.5,12.1,12.3,-0.2,-1.63%,"149,800.00",-
3-Jan-23,DTK,Diamond Trust Bank Kenya Ltd,43.05,56,48.6,50,49.85,50,-0.15,-0.30%,"11,000.00",-
3-Jan-23,EQTY,Equity Group Holdings Plc,33.6,51,44.5,45.35,45.05,44.5,0.55,1.24%,"63,500.00",-
3-Jan-23,HFCK,HF Group Ltd,3.02,4.9,3.01,3.19,3.15,3.19,-0.04,-1.25%,"3,800.00",-
3-Jan-23,IMH,I & M Holdings Plc,17,35,17,17.5,17.05,17,0.05,0.29%,"40,600.00",-
3-Jan-23,KCB,KCB Group Plc,15.75,40,38,39.2,38.35,38.1,0.25,0.66%,"58,100.00",-
3-Jan-23,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
3-Jan-23,NCBA,NCBA Group Plc,34.05,47,38.9,39.95,38.95,39.35,-0.4,-1.02%,"27,600.00",-
3-Jan-23,SBIC,Stanbic Holdings Plc,100,134,102,102,102,102,-,-,400,-
3-Jan-23,SCBK,Standard Chartered Bank Kenya Ltd,148,236,143,145,145,142.75,2.25,1.58%,"23,400.00",-
3-Jan-23,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
3-Jan-23,EVRD,Eveready East Africa Ltd,0.97,1.65,0.68,0.75,0.72,0.69,0.03,4.35%,800,-
3-Jan-23,XPRS,Express Kenya Plc,2.74,3.99,4.24,4.71,4.63,4.71,-0.08,-1.70%,600,-
3-Jan-23,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
3-Jan-23,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,-,-,-,-
3-Jan-23,LKL,Longhorn Publishers Plc,2.02,2.65,2.98,3,3,3,-,-,"22,200.00",-
3-Jan-23,NBV,Nairobi Business Ventures Ltd,1.85,2.9,3.77,4,3.94,3.77,0.17,4.51%,"11,100.00",-
3-Jan-23,NMG,Nation Media Group Plc,14,22.4,15.7,16.6,15.8,15.95,-0.15,-0.94%,"13,000.00",-
3-Jan-23,SMER,Sameer Africa Plc,1.87,2.75,2.12,2.12,2.12,2.1,0.02,0.95%,100,-
3-Jan-23,SGL,Standard Group Plc,4.86,9,10.45,10.45,10.45,10.45,-,-,-,-
3-Jan-23,TPSE,TPS Eastern Africa (Serena) Ltd,11,20.15,13,13,13,13.35,-0.35,-2.62%,300,-
3-Jan-23,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.21,0.23,0.21,0.23,-0.02,-8.70%,"37,500.00",-
3-Jan-23,SCAN,WPP ScanGroup Plc,1.86,2.94,2.84,3.01,2.87,3.01,-0.14,-4.65%,"19,100.00",-
3-Jan-23,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
3-Jan-23,BAMB,Bamburi Cement Ltd,22.5,84,31.2,31.5,31.45,31.5,-0.05,-0.16%,"6,800.00",-
3-Jan-23,CRWN,Crown Paints Kenya Plc,29,40.05,41.5,41.5,41.5,41.85,-0.35,-0.84%,500,-
3-Jan-23,CABL,East African Cables Plc,0.79,1.11,0.84,0.9,0.85,0.84,0.01,1.19%,"3,100.00",-
3-Jan-23,PORT,East African Portland Cement Ltd,4.38,55.75,6.8,6.8,6.8,6.8,-,-,-,-
3-Jan-23,KEGN,Kenya Electricity Generating Company Plc,1.94,4.6,3.21,3.25,3.22,3.22,-,-,"66,600.00",-
3-Jan-23,KPLC-P4,KPLC-P4,4,4.11,4.11,4.11,4.11,4.11,-,-,-,-
3-Jan-23,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
3-Jan-23,KPLC,Kenya Power and Lighting Company Plc,1.3,6,1.52,1.67,1.62,1.56,0.06,3.85%,"214,400.00",-
3-Jan-23,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25,23.85,23.85,23.85,23.85,-,-,-,-
3-Jan-23,UMME,Umeme Ltd,13,17.9,7.4,7.5,7.48,7.42,0.06,0.81%,"22,900.00",-
3-Jan-23,BRIT,Britam Holdings Plc,4.25,6.5,5.1,5.26,5.2,5.2,-,-,"15,400.00",-
3-Jan-23,CIC,CIC Insurance Group Ltd,1.93,2.5,1.86,1.95,1.91,1.95,-0.04,-2.05%,"17,800.00",-
3-Jan-23,JUB,Jubilee Holdings Ltd,150,202,198.75,198.75,198.75,198.75,-,-,-,-
3-Jan-23,KNRE,Kenya Re-Insurance Corporation Ltd,1,3,1.83,1.9,1.87,1.83,0.04,2.19%,"11,000.00",-
3-Jan-23,LBTY,Liberty Kenya Holdings Ltd,3.5,8.24,5.04,5.04,5.04,5.6,-0.56,-10.00%,100,-
3-Jan-23,SLAM,Sanlam Kenya Plc,5.5,7.7,9.58,9.7,9.58,9.58,-,-,"1,500.00",-
3-Jan-23,CTUM,Centum Investment Company Plc,7.62,10.4,8.1,8.34,8.2,8.36,-0.16,-1.91%,"11,000.00",-
3-Jan-23,HAFR,Home Afrika Ltd,0.27,0.42,0.32,0.35,0.34,0.32,0.02,6.25%,"13,700.00",-
3-Jan-23,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
3-Jan-23,OCH,Olympia Capital Holdings Ltd,2.58,4,2.96,2.96,2.96,2.96,-,-,"5,100.00",-
3-Jan-23,TCL,Trans-Century Plc,0.29,0.72,0.93,1.01,0.99,0.93,0.06,6.45%,"8,700.00",-
3-Jan-23,NSE,Nairobi Securities Exchange Plc,5.22,6.8,6.7,6.8,6.8,6.78,0.02,0.29%,"34,600.00",-
3-Jan-23,BOC,BOC Kenya Plc,67,96,70.75,70.75,70.75,70.75,-,-,-,-
3-Jan-23,BAT,British American Tobacco Kenya Plc,325,455,460,460,460,460,-,-,-,-
3-Jan-23,CARB,Carbacid Investments Plc,14.05,24.5,11.7,12.4,11.95,12,-0.05,-0.42%,"12,000.00",-
3-Jan-23,EABL,East African Breweries Ltd,99,204,167,170.75,170,167.5,2.5,1.49%,"7,300.00",-
3-Jan-23,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.1,1.1,1.1,1.08,0.02,1.85%,"1,000.00",-
3-Jan-23,ORCH,Kenya Orchards Ltd,19,77,10.4,10.4,10.4,10.4,-,-,-,-
3-Jan-23,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
3-Jan-23,UNGA,Unga Group Ltd,11.05,18.45,32,32,32,32,-,-,-,-
3-Jan-23,SCOM,Safaricom Plc,12.15,21.15,24,24.4,24.05,24.15,-0.1,-0.41%,"575,900.00",-
3-Jan-23,GLD,ABSA NewGold ETF,"2,625.00","3,330.00","2,165.00","2,165.00","2,165.00","2,165.00",-,-,-,-
3-Jan-23,^N20I,NSE 20-Share Index,"1,416.32","1,942.74","1,675.40","1,675.40","1,675.40","1,676.10",-0.7,-0.04%,-,-
3-Jan-23,^N25I,NSE 25-Share Index,"2,281.58","3,205.82","3,138.24","3,138.24","3,138.24","3,133.64",4.6,0.15%,-,-
3-Jan-23,^NASI,NSE All-Share Index,86.41,119.33,127.34,127.34,127.34,127.47,-0.13,-0.10%,-,-
3-Jan-23,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,497.80","2,397.65","2,018.67","2,018.67","2,018.67","2,004.74",13.93,0.69%,-,-
3-Jan-23,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,"1,599.72","1,407.35","1,407.35","1,407.35","1,398.77",8.58,0.61%,-,-
4-Jan-23,EGAD,Eaagads Ltd,10.35,14.5,10.5,10.55,10.55,10.5,0.05,0.48%,400,-
4-Jan-23,KUKZ,Kakuzi Plc,342,440,385,385,385,385,-,-,-,-
4-Jan-23,KAPC,Kapchorua Tea Kenya Plc,207,280,115.75,115.75,115.75,115.75,-,-,-,-
4-Jan-23,LIMT,Limuru Tea Plc,365,380,420,420,420,420,-,-,-,-
4-Jan-23,SASN,Sasini Plc,15.1,22,22.1,22.5,22.45,22.45,-,-,"6,000.00",-
4-Jan-23,WTK,Williamson Tea Kenya Plc,193.5,290,160,160,160,160,-,-,-,-
4-Jan-23,CGEN,Car and General (K) Ltd,17.95,31.8,48.95,49,49,49,-,-,"2,800.00",-
4-Jan-23,ABSA,ABSA Bank Kenya Plc,10.55,16.7,12,12.2,12.1,12.2,-0.1,-0.82%,"106,300.00",-
