Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
2-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,12,12,12,12,-,-,-,-
2-Jan-25,KUKZ,Kakuzi Plc,365,440,385,400,392.5,385,7.5,1.95%,200,-
2-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,236,240,239.25,235,4.25,1.81%,1000,-
2-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
2-Jan-25,SASN,Sasini Plc,13.3,20.4,14.8,15,15,15,-,-,38700,-
2-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,224,228.5,224.75,226.5,-1.75,-0.77%,4600,-
2-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,25,25,25,22.75,2.25,9.89%,5600,-
2-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,18.05,19.1,18.85,18.05,0.8,4.43%,94200,-
2-Jan-25,BKG,BK Group Plc,28.75,43.5,33.85,35,35,32.55,2.45,7.53%,301100,-
2-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,16.45,18,17.45,16.45,1,6.08%,831200,-
2-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,65,70,66.75,69,-2.25,-3.26%,37500,-
2-Jan-25,EQTY,Equity Group Holdings Plc,41.2,71,47.8,48.5,48,48.3,-0.3,-0.62%,161900,-
2-Jan-25,HFCK,HF Group Ltd,3.32,11.4,4.45,4.89,4.6,4.51,0.09,2.00%,33800,-
2-Jan-25,IMH,I & M Holdings Plc,28,46.2,35.5,36.95,36,36.25,-0.25,-0.69%,127900,-
2-Jan-25,KCB,KCB Group Plc,35,72.5,42,42.8,42.4,41.6,0.8,1.92%,262600,-
2-Jan-25,NCBA,NCBA Group Plc,40,100,48.5,51.5,51,48.2,2.8,5.81%,16600,-
2-Jan-25,SBIC,Stanbic Holdings Plc,125,202.5,138,144.75,139.75,137.25,2.5,1.82%,14900,-
2-Jan-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,280,289.5,285.25,279.75,5.5,1.97%,19800,-
2-Jan-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
2-Jan-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.15,1.18,1.17,1.15,0.02,1.74%,46600,-
2-Jan-25,XPRS,Express Kenya Plc,2.8,10,3.6,3.6,3.6,3.6,-,-,10200,-
2-Jan-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
2-Jan-25,KQ,Kenya Airways Plc,1.56,9.18,3.83,3.83,3.83,3.83,-,-,-,-
2-Jan-25,LKL,Longhorn Publishers Plc,2.1,3.47,2.2,2.3,2.3,2.3,-,-,26800,-
2-Jan-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2,2.15,2.01,2.01,-,-,10700,-
2-Jan-25,NMG,Nation Media Group Plc,10.05,15.5,14.4,14.45,14.4,14.4,-,-,8700,-
2-Jan-25,SMER,Sameer Africa Plc,2.11,17,2.4,2.64,2.44,2.43,0.01,0.41%,700,-
2-Jan-25,SGL,Standard Group Plc,4.5,7.14,4.85,5,4.99,5.02,-0.03,-0.60%,2000,-
2-Jan-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15.85,15.85,15.85,14.9,0.95,6.38%,100,-
2-Jan-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.16,0.18,0.16,0.17,-0.01,-5.88%,359300,-
2-Jan-25,SCAN,WPP ScanGroup Plc,1.8,4.02,2.51,2.51,2.51,2.48,0.03,1.21%,100,-
2-Jan-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
2-Jan-25,BAMB,Bamburi Cement Ltd,47,67,55,55,55,55,-,-,200,-
2-Jan-25,CRWN,Crown Paints Kenya Plc,29,62,33.9,33.9,33.9,32.9,1,3.04%,100,-
2-Jan-25,CABL,East African Cables Plc,0.98,3.27,1.05,1.08,1.06,1.08,-0.02,-1.85%,46600,-
2-Jan-25,PORT,East African Portland Cement Ltd,24.5,64.25,28,30,29.05,30.6,-1.55,-5.07%,3200,-
2-Jan-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,3.61,3.8,3.75,3.64,0.11,3.02%,1058400,-
2-Jan-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
2-Jan-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
2-Jan-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,4.96,5.28,5.18,4.81,0.37,7.69%,586200,-
2-Jan-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,20.1,21.95,20.35,20,0.35,1.75%,1200,-
2-Jan-25,UMME,Umeme Ltd,6.86,24.75,16.7,16.75,16.7,16.75,-0.05,-0.30%,5700,-
2-Jan-25,BRIT,Britam Holdings Plc,5.52,9.4,5.6,6,5.82,5.8,0.02,0.34%,15800,-
2-Jan-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.1,2.19,2.14,2.15,-0.01,-0.47%,59000,-
2-Jan-25,JUB,Jubilee Holdings Ltd,162,335.5,172,182.5,174.75,173.5,1.25,0.72%,1000,-
2-Jan-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.27,1.4,1.35,1.28,0.07,5.47%,1052700,-
2-Jan-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,6.7,6.7,6.7,6.68,0.02,0.30%,100,-
2-Jan-25,SLAM,Sanlam Kenya Plc,3.9,11,4.95,4.95,4.95,4.95,-,-,-,-
2-Jan-25,CTUM,Centum Investment Company Plc,9.22,16.75,10.05,10.5,10.2,9.88,0.32,3.24%,63200,-
2-Jan-25,HAFR,Home Afrika Ltd,0.33,1.83,0.36,0.37,0.37,0.37,-,-,36100,-
2-Jan-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
2-Jan-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,2.72,3.05,2.81,2.8,0.01,0.36%,2600,-
2-Jan-25,TCL,Trans-Century Plc,0.36,1.78,0.38,0.42,0.4,0.39,0.01,2.56%,77900,-
2-Jan-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,5.66,6.04,5.9,6,-0.1,-1.67%,2281200,-
2-Jan-25,AMAC,Africa Mega Agricorp Plc,51,80,70,70,70,70,-,-,-,-
2-Jan-25,BOC,BOC Kenya Plc,76,150,88.75,88.75,88.75,88.75,-,-,-,-
2-Jan-25,BAT,British American Tobacco Kenya Plc,345,452,365,379.75,376.25,376,0.25,0.07%,7400,-
2-Jan-25,CARB,Carbacid Investments Plc,16.25,32.2,19.6,21.8,20.35,20.95,-0.6,-2.86%,19700,-
2-Jan-25,EABL,East African Breweries Ltd,162.25,250,175,188.5,175.5,175.5,-,-,9300,-
2-Jan-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,0.95,1,0.96,1,-0.04,-4.00%,25900,-
2-Jan-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
2-Jan-25,UNGA,Unga Group Ltd,14.4,28.25,15,15,15,15,-,-,-,-
2-Jan-25,SCOM,Safaricom Plc,14.1,31,17.15,17.4,17.2,17.05,0.15,0.88%,1347700,-
2-Jan-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
2-Jan-25,GLD,ABSA NewGold ETF,3000,9800,3260,3260,3260,3260,-,-,-,-
2-Jan-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1327.4,1327.4,1327.4,1302.31,25.09,1.93%,-,-
2-Jan-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2058.67,2058.67,2058.67,2010.65,48.02,2.39%,-,-
2-Jan-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3457.87,3457.87,3457.87,3402.8,55.07,1.62%,-,-
2-Jan-25,^NASI,NSE All-Share Index,110.65,192.89,125.34,125.34,125.34,123.48,1.86,1.51%,-,-
2-Jan-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1108.71,1108.71,1108.71,1107.41,1.3,0.12%,-,-
2-Jan-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2547.58,2547.58,2547.58,2519.8,27.78,1.10%,-,-
2-Jan-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1697.07,1697.07,1697.07,1677.27,19.8,1.18%,-,-
3-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,12,12,12,12,-,-,-,-
3-Jan-25,KUKZ,Kakuzi Plc,365,440,392.5,392.5,392.5,392.5,-,-,-,-
3-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,235,235,235,239.25,-4.25,-1.78%,200,-
3-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
3-Jan-25,SASN,Sasini Plc,13.3,20.4,15,16.5,15.25,15,0.25,1.67%,34800,-
3-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,224,224.75,224.75,224.75,-,-,3100,-
3-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,23,27,24.25,25,-0.75,-3.00%,1300,-
3-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,17.55,19.5,19,18.85,0.15,0.80%,2930600,-
3-Jan-25,BKG,BK Group Plc,28.75,43.5,35,35,35,35,-,-,-,-
3-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17.05,17.9,17.65,17.45,0.2,1.15%,2082100,-
3-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,67,68,67,66.75,0.25,0.37%,42800,-
3-Jan-25,EQTY,Equity Group Holdings Plc,41.2,71,47.7,48.95,48,48,-,-,105100,-
3-Jan-25,HFCK,HF Group Ltd,3.32,11.4,4.5,4.85,4.74,4.6,0.14,3.04%,615400,-
3-Jan-25,IMH,I & M Holdings Plc,28,46.2,36,36.25,36.15,36,0.15,0.42%,72400,-
3-Jan-25,KCB,KCB Group Plc,35,72.5,42.1,43.2,42.8,42.4,0.4,0.94%,485500,-
3-Jan-25,NCBA,NCBA Group Plc,40,100,49.75,51.5,50.75,51,-0.25,-0.49%,22900,-
3-Jan-25,SBIC,Stanbic Holdings Plc,125,202.5,135.25,144.75,144.25,139.75,4.5,3.22%,2400,-
3-Jan-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,281,300,291.25,285.25,6,2.10%,34000,-
3-Jan-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
3-Jan-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.06,1.15,1.06,1.17,-0.11,-9.40%,29900,-
3-Jan-25,XPRS,Express Kenya Plc,2.8,10,3.3,3.5,3.44,3.6,-0.16,-4.44%,1600,-
3-Jan-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
3-Jan-25,KQ,Kenya Airways Plc,1.56,9.18,3.83,3.83,3.83,3.83,-,-,-,-
3-Jan-25,LKL,Longhorn Publishers Plc,2.1,3.47,2.21,2.3,2.3,2.3,-,-,11200,-
3-Jan-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2,2.1,2.01,2.01,-,-,7200,-
3-Jan-25,NMG,Nation Media Group Plc,10.05,15.5,14.4,15.5,14.85,14.4,0.45,3.13%,5100,-
3-Jan-25,SMER,Sameer Africa Plc,2.11,17,2.44,2.67,2.65,2.44,0.21,8.61%,121100,-
3-Jan-25,SGL,Standard Group Plc,4.5,7.14,4.99,5,5,4.99,0.01,0.20%,600,-
3-Jan-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15,15,15,15.85,-0.85,-5.36%,6100,-
3-Jan-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.16,0.17,0.16,0.16,-,-,278000,-
3-Jan-25,SCAN,WPP ScanGroup Plc,1.8,4.02,2.3,2.5,2.31,2.51,-0.2,-7.97%,24600,-
3-Jan-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
3-Jan-25,BAMB,Bamburi Cement Ltd,47,67,55.25,55.5,55.5,55,0.5,0.91%,1400,-
3-Jan-25,CRWN,Crown Paints Kenya Plc,29,62,33.9,37.25,35.55,33.9,1.65,4.87%,2200,-
3-Jan-25,CABL,East African Cables Plc,0.98,3.27,1.01,1.08,1.05,1.06,-0.01,-0.94%,11500,-
3-Jan-25,PORT,East African Portland Cement Ltd,24.5,64.25,29.05,31.5,30.7,29.05,1.65,5.68%,300,-
3-Jan-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,3.76,4,3.89,3.75,0.14,3.73%,3304800,-
3-Jan-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
3-Jan-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
3-Jan-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,5.2,5.66,5.42,5.18,0.24,4.63%,948600,-
3-Jan-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,21.5,21.5,21.5,20.35,1.15,5.65%,400,-
3-Jan-25,UMME,Umeme Ltd,6.86,24.75,16.7,16.95,16.75,16.7,0.05,0.30%,37000,-
3-Jan-25,BRIT,Britam Holdings Plc,5.52,9.4,5.6,5.94,5.64,5.82,-0.18,-3.09%,199900,-
3-Jan-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.1,2.19,2.15,2.14,0.01,0.47%,579000,-
3-Jan-25,JUB,Jubilee Holdings Ltd,162,335.5,175,188.75,175.25,174.75,0.5,0.29%,9200,-
3-Jan-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.35,1.48,1.41,1.35,0.06,4.44%,4376300,-
3-Jan-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,6.5,6.7,6.58,6.7,-0.12,-1.79%,50300,-
3-Jan-25,SLAM,Sanlam Kenya Plc,3.9,11,4.51,4.95,4.82,4.95,-0.13,-2.63%,5000,-
3-Jan-25,CTUM,Centum Investment Company Plc,9.22,16.75,10.2,11,10.95,10.2,0.75,7.35%,15500,-
3-Jan-25,HAFR,Home Afrika Ltd,0.33,1.83,0.34,0.37,0.35,0.37,-0.02,-5.41%,347100,-
3-Jan-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
3-Jan-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,2.7,2.76,2.73,2.81,-0.08,-2.85%,10000,-
3-Jan-25,TCL,Trans-Century Plc,0.36,1.78,0.4,0.41,0.4,0.4,-,-,316500,-
3-Jan-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,5.9,6.08,5.9,5.9,-,-,4848500,-
3-Jan-25,AMAC,Africa Mega Agricorp Plc,51,80,70,70,70,70,-,-,-,-
3-Jan-25,BOC,BOC Kenya Plc,76,150,88.75,88.75,88.75,88.75,-,-,-,-
3-Jan-25,BAT,British American Tobacco Kenya Plc,345,452,360,376.5,371.75,376.25,-4.5,-1.20%,4900,-
3-Jan-25,CARB,Carbacid Investments Plc,16.25,32.2,19.5,20,19.6,20.35,-0.75,-3.69%,19800,-
3-Jan-25,EABL,East African Breweries Ltd,162.25,250,175,187.75,176.5,175.5,1,0.57%,2800,-
3-Jan-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,0.95,1,0.98,0.96,0.02,2.08%,12900,-
3-Jan-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
3-Jan-25,UNGA,Unga Group Ltd,14.4,28.25,14.4,14.4,14.4,15,-0.6,-4.00%,100,-
3-Jan-25,SCOM,Safaricom Plc,14.1,31,17.25,17.4,17.35,17.2,0.15,0.87%,322300,-
3-Jan-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
3-Jan-25,GLD,ABSA NewGold ETF,3000,9800,3260,3260,3260,3260,-,-,-,-
3-Jan-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1335.89,1335.89,1335.89,1327.4,8.49,0.64%,-,-
3-Jan-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2088.97,2088.97,2088.97,2058.67,30.3,1.47%,-,-
3-Jan-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3483.67,3483.67,3483.67,3457.87,25.8,0.75%,-,-
3-Jan-25,^NASI,NSE All-Share Index,110.65,192.89,126.36,126.36,126.36,125.34,1.02,0.81%,-,-
3-Jan-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1108.69,1108.69,1108.69,1108.71,-0.02,-,-,-
3-Jan-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2564.79,2564.79,2564.79,2547.58,17.21,0.68%,-,-
3-Jan-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1708.53,1708.53,1708.53,1697.07,11.46,0.68%,-,-
6-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,12,12,12,12,-,-,1300,-
6-Jan-25,KUKZ,Kakuzi Plc,365,440,392.5,392.5,392.5,392.5,-,-,-,-
6-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,235,235,235,235,-,-,-,-
6-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
6-Jan-25,SASN,Sasini Plc,13.3,20.4,14.5,16,14.9,15.25,-0.35,-2.30%,16000,-
6-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,224,226,224.5,224.75,-0.25,-0.11%,400,-
6-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,24,24,24,24.25,-0.25,-1.03%,200,-
6-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,17.55,19.3,18.85,19,-0.15,-0.79%,192500,-
6-Jan-25,BKG,BK Group Plc,28.75,43.5,32.5,36,35,35,-,-,211200,-
6-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17.5,17.95,17.65,17.65,-,-,1026500,-
6-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,67,70,68.5,67,1.5,2.24%,274700,-
